1	943_S1345	MID1
1	944_S1346	MID2
1	945_S1347	MID3
1	946_S1348	MID4
1	947_S1349	MID5
1	948_S1350	MID6
1	949_S1351	MID7
1	950_S1352	MID8
1	993_S1353	MID9
1	994_S1354	MID10
1	995_S1355	MID11
1	996_S1356	MID12
1	997_S1357	MID13
1	998_S1358	MID14
1	999_S1359	MID15
1	1000_S1360	MID16
1	1043_S1361	MID17
1	1044_S1362	MID18
1	1045_S1363	MID19
1	1046_S1364	MID20
1	1047_S1365	MID21
1	1048_S1366	MID22
1	1049_S1367	MID23
1	1050_S1368	MID24
1	1093_S1369	MID25
1	1094_S1370	MID26
1	1095_S1371	MID27
1	1096_S1372	MID28
1	1097_S1373	MID29
1	1098_S1374	MID30
1	1099_S1375	MID31
1	1100_S1376	MID32
1	1143_S1377	MID33
1	1144_S1378	MID34
1	1145_S1379	MID35
1	1146_S1380	MID36
1	1147_S1381	MID37
1	1148_S1382	MID38
1	1149_S1383	MID39
1	1150_S1384	MID40
1	1193_S1385	MID41
1	1194_S1386	MID42
1	1195_S1387	MID43
1	1196_S1388	MID44
1	1197_S1389	MID45
1	1198_S1390	MID46
1	1199_S1391	MID47
1	1200_S1392	MID48
1	1243_S1393	MID49
1	1244_S1394	MID50
1	1245_S1395	MID51
1	1246_S1396	MID52
1	1247_S1397	MID53
1	1248_S1398	MID54
1	1249_S1399	MID55
1	1250_S1400	MID56
1	1293_S1401	MID57
1	1294_S1402	MID58
1	1295_S1403	MID59
1	1296_S1404	MID60
1	1297_S1405	MID61
1	1298_S1406	MID62
1	1299_S1407	MID63
1	1300_S1408	MID64
1	1343_S1409	MID65
1	1344_S1410	MID66
1	1345_S1411	MID67
1	1346_S1412	MID68
1	1347_S1413	MID69
1	1348_S1414	MID70
1	1349_S1415	MID71
1	1350_S1416	MID72
1	1393_S1417	MID73
1	1394_S1418	MID74
1	1395_S1419	MID75
1	1396_S1420	MID76
1	1397_S1421	MID77
1	1398_S1422	MID78
1	1399_S1423	MID79
1	1400_S1424	MID80
1	1443_S1425	MID81
1	1444_S1426	MID82
1	1445_S1427	MID83
1	1446_S1428	MID84
1	1447_S1429	MID85
1	1448_S1430	MID86
1	1449_S1431	MID87
1	1450_S1432	MID88
1	1493_S1433	MID89
1	1494_S1434	MID90
1	1495_S1435	MID91
1	1496_S1436	MID92
1	1497_S1437	MID93
1	1498_S1438	MID94
1	1499_S1439	MID95
1	1500_S1440	MID96
